crate,loc,debug_build,release_build,test,check
knhk-hot,4675,2.623513000,2.369738000,8.204721000,.586431000
knhk-otel,3290,10.703123000,24.968124000,.933132000,4.584268000
knhk-connectors,2556,.796485000,1.227747000,.715340000,.542977000
knhk-lockchain,1111,9.990638000,13.412757000,1.024947000,7.506300000
knhk-etl,9262,120.236723000,221.150323000,306.885474000,136.721524000
knhk-warm,1941,135.561127000,221.614805000,102.162048000,107.835318000
knhk-validation,2601,19.683816000,32.818422000,3.162394000,10.709455000
knhk-config,547,5.297769000,9.347818000,.881488000,2.445435000
knhk-patterns,2393,135.807249000,211.157420000,98.966481000,97.869690000
knhk-workflow-engine,39448,123.596960000,278.566980000,101.617688000,114.253138000
knhk-sidecar,7760,140.799864000,253.014342000,12.991132000,113.504925000
knhk-cli,10998,111.227749000,166.457263000,3.147147000,94.584491000
knhk-integration-tests,138,109.694241000,223.542977000,.348155000,93.937798000
chicago-tdd-tools,3056,5.828161000,8.058763000,5.431880000,2.354675000
knhk-dflss,5141,14.107860000,43.935235000,3.810679000,8.720269000
knhk-latex-compiler,217,1.862625000,4.698883000,.245351000,1.191301000
knhk-latex,1140,5.026670000,12.996880000,5.272086000,1.748972000
