crate,loc,build_debug_sec,build_release_sec,test_sec,clippy_sec,binary_size_kb
knhk-aot,921,26.557879000,52.901197000,47.158521000,.744321000,0
knhk-cli,3496,81.050646000,207.054224000,51.581075000,4.657078000,0
knhk-config,544,1.184015000,155.274328000,101.611238000,1.705031000,0
knhk-connectors,2378,.571038000,33.197544000,4.469994000,2.922178000,0
knhk-etl,7877,6.074513000,57.751054000,8.891488000,1.114844000,0
knhk-hot,1867,.996821000,19.682865000,1.716684000,.962146000,0
knhk-integration-tests,138,87.694600000,97.575214000,5.732737000,76.117220000,0
knhk-lockchain,1097,1.076402000,13.462016000,1.376637000,6.362089000,0
knhk-otel,1577,.802467000,2.791671000,1.566175000,3.075775000,0
knhk-patterns,2918,8.628623000,6.996094000,9.614946000,1.257218000,0
knhk-sidecar,4183,.302612000,.282732000,.294379000,.357903000,0
knhk-unrdf,5310,6.730178000,70.666220000,10.264502000,87.762822000,0
knhk-validation,2594,3.850393000,23.780814000,2.877127000,1.773264000,345
knhk-warm,2054,7.589824000,27.776139000,9.090302000,3.363624000,0
